29485,Gold,NULL,|,1,112889,4,|,Catherine Abel,747-555-0171,catherine0@adventure-works.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29486,Gold,NULL,|,1,519411,12,|,Kim Abercrombie,334-555-0137,kim2@adventure-works.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29487,Gold,NULL,|,1,67941,11,|,Humberto Acevedo,599-555-0127,humberto0@adventure-works.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29484,Silver,High-Value Dormant,|,14,131103,7,|,Gustavo Achong,398-555-0132,gustavo0@adventure-works.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29488,Gold,NULL,|,1,221170,4,|,Pilar Ackerman,1 (11) 500 555-0132,pilar1@adventure-works.com,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28866,Regular,NULL,|,9,118,1,|,Aaron Adams,417-555-0154,aaron48@adventure-works.com,4116 Stanbridge Ct.,Downey,California,United States,1974-02-05,Single,25001-50000,Male,0,Partial College,Skilled Manual,1,1
13323,Regular,NULL,|,1,142,1,|,Adam Adams,129-555-0195,adam46@adventure-works.com,9381 Bayside Way,Newport Beach,California,United States,1953-03-22,Married,50001-75000,Male,3,Graduate Degree,Management,0,2
21139,Regular,NULL,|,5,1736,1,|,Alex Adams,346-555-0124,alex43@adventure-works.com,237 Bellwood Dr.,Lake Oswego,Oregon,United States,1962-06-24,Married,50001-75000,Male,1,Partial College,Skilled Manual,1,1
29170,Regular,NULL,|,30,3578,1,|,Alexandra Adams,629-555-0159,alexandra57@adventure-works.com,3215 Polson Court,Burlingame,California,United States,1958-10-16,Single,50001-75000,Female,1,"Bachelors ",Professional,0,1
19419,Silver,NULL,|,3,1602,2,|,Allison Adams,1 (11) 500 555-0153,allison38@adventure-works.com,"112, rue Faubourg St Antoine",Roubaix,Nord,France,1959-08-26,Single,25001-50000,Female,3,Graduate Degree,Clerical,1,0
11971,Silver,NULL,|,2,134,2,|,Amanda Adams,592-555-0166,amanda58@adventure-works.com,6730 Saddlehill Lane,Fremont,California,United States,1973-09-03,Single,75001-100000,Female,0,"Bachelors ",Management,0,1
26746,Silver,NULL,|,3,2001,2,|,Amber Adams,1 (11) 500 555-0116,amber16@adventure-works.com,9720 Morning Glory Dr.,Brisbane,Queensland,Australia,1961-02-04,Single,50001-75000,Female,1,Partial College,Skilled Manual,0,1
16845,Bronze,NULL,|,3,2380,1,|,Andrea Adams,658-555-0193,andrea37@adventure-works.com,4767 Detroit Ave.,West Covina,California,United States,1964-09-15,Single,greater than 100000,Female,0,Graduate Degree,Management,0,3
18504,Regular,NULL,|,6,129,1,|,Angel Adams,467-555-0126,angel37@adventure-works.com,9556 Lyman Rd.,Burlingame,California,United States,1957-02-06,Married,50001-75000,Male,2,Partial High School,Skilled Manual,0,2
